Kf3,Be5, Kg2,b1=Q, Kf2,h1=Q, Ke2,Qh3, Kf2,Qb2+, Kg1,Qhc3, Kf1,Qcc1#  {White checkmated} 0-1
e4,Bxh3, Qa4,Rf8, gxh3,Qg3+, Kf1,Rxh3, Rd7,Rh2, Qd4,Qg2+, Ke1,Qe2#  {White checkmated} 0-1
Bxf3,e4, Bg2,Qg3, Bxe4,fxe4, Ke2,Qd3+, Kf2,Qf3+, Ke1,Rg2, c5,Qe2#  {White checkmated} 0-1
Kg1,e1=Q+, Kg2,Qe3, Kf1,Qf3+, Kg1,Qe2, Kh1,Ke3, Kg1,Kf3, Kh1,Qg2#  {White checkmated} 0-1
Kh1,f4, gxf4,g3, f5,exf5, Kg1,f4, Kh1,f3, Kg1,Kf6, Kh1,Rf1#  {White checkmated} 0-1
d5,c2, Kf2,c1=Q, d6,Bxd6, Kg2,Qxe3, Kf1,Bg3, Kg2,Qf2+, Kh1,Qh2#  {White checkmated} 0-1
Kg6,Qg4+, Kf6,Qxh5, Ke6,Qg6+, Kd7,Kd5, Kc8,Qf7, Kb8,Kc6, Ka8,Qb7#  {White checkmated} 0-1
e5,dxe5, Kg1,b2, Kf1,b1=Q, h3,Qc2, Ke1,Be3, h4,Qd2+, Kf1,Qf2#  {White checkmated} 0-1
Kf2,Kd3, Kf3,Qd4, Kg3,Qe4, Kh2,Qg4, Kh1,Ke2, Kh2,Kf2, Kh1,Qg2#  {White checkmated} 0-1
Ke1,Ra2, Kf1,Ke5, Ke1,Kd4, Kf1,Ke3, Kg1,Kf3, Kh1,Kg3, Kg1,Ra1#  {White checkmated} 0-1
Rxe8,Rxe8, Be3,Bd4, Qxb7,Rxe3, Qb8+,Kg7, Qh8+,Kxh8, fxe3,Qxh2+, Kf1,Qf2#  {White checkmated} 0-1
Ke4,a1=Q, Kd5,Qd4+, Kc6,Rc1+, Kb5,Qd5+, Kb6,Rc6+, Ka7,Qd7+, Kb8,Rc8#  {White checkmated} 0-1
Kc3,Qd4+, Kb3,Rb5+, Kc2,Rc5+, Kb3,Qc4+, Ka3,Ra5+, Kb2,Rb5+, Ka3,Qb3#  {White checkmated} 0-1
Rc1,Rd1+, Kg2,Rxc1, Kf2,Rb1, Kg2,c1=Q, Kf2,Qc3, Kg2,Rb2+, Kg1,Qc1#  {White checkmated} 0-1
Bb2,Re8, Bxa1,Bd6, Qd2,cxd4, a4,Bc5, Bb2,d3+, Bd4,Bxd4+, Qf2,Qg2#  {White checkmated} 0-1
Nc4,f3, Kh1,g2+, Kh2,Kf4, Nd2,Kg4, Nxf3,Kxf3, Kh3,g1=Q, Kxh4,Qg4#  {White checkmated} 0-1
Bg2,Kc5, Bd5,Bd4, Kh1,Qxf2, g4,fxg4, Be6,g3, Bd5,g5, Bg8,Qg1#  {White checkmated} 0-1
Qc3,h5, f5,h4, f6,Qe6, Nd4,hxg3, Nxe6,Rxh2, Rf3,Bxf3, Nxc7,Rh1#  {White checkmated} 0-1
hxg6+,Kxg6, Rxb1,axb1=Q, Kf1,Qd1, Kg2,Qxe1, f5+,Kg5, fxe6,Qg3+, Kf1,Qf2#  {White checkmated} 0-1
Kb3,Qb5+, Kc2,Qc4+, Kd2,Bf4+, Ke1,Qc2, Kf1,Bg3, Kg1,Qf2+, Kh1,Qh2#  {White checkmated} 0-1
Qc3+,Bd4, Re8+,Kh7, Qc1,Bxf2+, Kxg2,Qg3+, Kf1,Be3+, Ke2,Rf2+, Ke1,Qg1#  {White checkmated} 0-1
Kg3,c2, Rxb2,Rxb2, Kf3,c1=Q, Kg4,Qf1, Kg5,Rg2+, Kh6,Kf7, Kh7,Qh1#  {White checkmated} 0-1
Kf2,Qd3, Kg2,Qe3, Kf1,Qd2, Kg1,Bd6, Kf1,Bg3, Kg1,Qf2+, Kh1,Qh2#  {White checkmated} 0-1
Qe3,Bb4, Bc4,O-O, O-O,Nc6, Re1,b5, Bb3,a5, a4,bxa4, Bxa4,{White forfeits by disconnection} 0-1
g3,e5, e4,Nf6, d4,d6, dxe5,dxe5, Qxd8+,Kxd8, Bg5,Be7, Nc3,{White forfeits by disconnection} 0-1
e3,e6, Bd3,Bxc5, O-O,Nf6, Nbd2,O-O, c3,Qc7, Qa4,Bd7, Qh4,{White forfeits by disconnection} 0-1
Rfd1,Nxc3, Qxc3,Qc7, Qc4,Rad8, h4,Rxd1+, Rxd1,Rd8, Rd3,Rxd3, cxd3,b5  {White forfeits by disconnection} 0-1
a4,Nb4, Qc3,bxa4, Bg5,Rc8, Bxf6,Rxc3, Bxe7,Qxe7, bxc3,Nc2, Ra2,{White forfeits by disconnection} 0-1
O-O,Bd7, Nbd2,c5, Qb3,cxd4, Qxb7,Nc6, Nb3,Rb8, Qa6,Rb6, Qa4,{White forfeits by disconnection} 0-1
Bd3,d5, Bb5,Bd7, Bxc6,Bxc6, Nxe5,Qf6, Nxc6,Qxc6, O-O,O-O-O, Qg4+,{White forfeits by disconnection} 0-1
Ne5,Nde4, Nxe4,dxe4, Bxe4,Nxe4, Qxe4,f5, Qf4,Bd6, Rd1,Qe7, Bb2,{White forfeits by disconnection} 0-1
e3,O-O, Nf3,Nd7, Bb5,Nb8, Bxc6,Nxc6, Nxd5,b6, Qb5,Qd6, Rc1,{White forfeits by disconnection} 0-1
Bb2,d5, cxd5,cxd5, Bxe5,Bxe5, Nxe5,dxe4, Qxe4,Qxd2, Qxb7,Qd4, Nc6,{White forfeits by disconnection} 0-1
c4,e5, g3,Nf6, Bg2,Bc5, Nf3,d6, d4,exd4, Nxd4,Bxd4, Qxd4,{White forfeits by disconnection} 0-1
Rxc7,Nb6, Bxb5,a6, Bd3,e6, Rac1,Na4, R1c2,a5, Rb7,f6, b3,{White forfeits by disconnection} 0-1
h4,g4, e4,h5, Nc3,Nf6, Bg5,Bg7, Bxf6,Bxf6, e5,Bg7, Ne4,{White forfeits by disconnection} 0-1
d4,d5, Nf3,Nc6, Qd3,Nf6, Nc3,Bf5, Qxf5,e6, Qg5,h6, Qg3,{White forfeits by disconnection} 0-1
O-O,e4, Ne1,Bg4, d3,f5, dxe4,fxe4, c4,c6, Nc3,Nf6, Qd4,{White forfeits by disconnection} 0-1
Ne2,Nd7, Be3,c6, dxc6,Nxc6, Ng5,Bf6, Bxf7+,Rxf7, Nxf7,Kxf7, Qxd6,{White forfeits by disconnection} 0-1
dxe5,Nd5, Ne4,O-O, c4,Nc7, Qb3,b6, Rd1,Nca6, Bc2,Nc5, Nxc5,{White forfeits by disconnection} 0-1
