273908306, Ng5,Qe3, Nxh7,Kxh7, Rf7+,Kh6, Qg7+,Kg5, Qxg6+,Kh4, Rh7+,Qh6, Rxh6#,{Black checkmated} 1-0
273908104, e7,Kg7, e8=Q,b5, Qe5+,Kh7, Qxg5,Kh8, Ke7,Kh7, Kf7,Kh8, Qh6#,{Black checkmated} 1-0
273904245, Rd3,Kxa6, Rb3,Qb8, Qxc6+,Ka5, Bc7+,Qb6, Bxb6+,axb6, Qxb6+,Ka4, Qb4#,{Black checkmated} 1-0
273903005, Qf6,Kg3, Ke5,Kh3, Qg7,Kh2, Kf4,Kh1, Kf3,Kh2, Qg6,Kh3, Qh6#,{Black checkmated} 1-0
273899542, Qc5+,Ke4, Ra4+,Kf3, Qc3+,Kf2, Rb4,Kf1, Rb1+,Kg2, Rb2+,Kf1, Qc1#,{Black checkmated} 1-0
273897846, Bxb7,a4, Kh2,a3, Bc6,Qf7, Bxd7,Re8, Bxe8,Qxc7, Qxc7,e5, Qg7#,{Black checkmated} 1-0
273895380, Ke5,g6, Kf6,h4, Ke7,Kh7, Qxf8,hxg3, hxg3,a4, Kf7,g5, Qg7#,{Black checkmated} 1-0
273892982, Ne5,Rf8, Qg5+,Kh8, Rd1,b3, Rd7,Ra1+, Kh2,Rh1+, Kxh1,b2, Qg7#,{Black checkmated} 1-0
273892543, Bxh6,Re8, Bg5,c5, Ne4,Kf8, Bxf6,Qd7, Qd2,Kg8, Qh6,b6, Qg7#,{Black checkmated} 1-0
273892045, Bxc2,Rd1+, Bxd1,Rxd1+, Kc2,Rf1, Rxf1,Nd7, Bg5,Nf6, Rxf6,c5, Rf8#,{Black checkmated} 1-0
273886813, Qd4,Ke6, c4,Ke7, Qd6+,Kf7, Kd7,Kg7, Ke7,Kh7, Kf7,Kh8, Qh6#,{Black checkmated} 1-0
273879538, Qd6,Rg8, Qc7+,Ka6, Qxc6+,Ka7, Bd4+,Kb8, Bb6,Rf8, Qc7+,Ka8, Qa7#,{Black checkmated} 1-0
273878977, Qc5,Kb2, Qc4,Ka3, Qb5,Ka2, Qb4,Ka1, Kd3,Ka2, Kc2,Ka1, Qb1#,{Black checkmated} 1-0
273876536, Qd2,Qh4+, g3,Qh5, Nge2,Qxf3, Bxh6,Bxh6, Qxh6,Qxh1, O-O-O,d6, Nf4,Qf3  {Black forfeits by disconnection} 1-0
273876463, dxc5,Nc3, Nd2,Rd8, a6,Rxd2, a7,Ra2, Rf5,Re1+, Rf1,Re8, g3,Ne2+  {Black forfeits by disconnection} 1-0
