Ne5,Rac8, b3,Qa3, Qb7,Nd5, Rd3,Nb4, Re2,Qxa2+, Kc1,Rxc2+, Rxc2,Qxc2#  {White checkmated} 0-1
Nf3,a4, Nd2,a3, Nf3,a2, Nd2,a1=Q, Ke2,Qb2, f3,Nb3, Kf2,Nxd2  {White resigns} 0-1
Rd1,Qg6, Rd8+,Kh7, O-O,Bh3, g3,Rxd8, Re1,Qc6, Ne4,Re8, f3,Re6  {White resigns} 0-1
Bb3+,Kh8, Bc3,a5, Be6,Nf4, Bxg7+,Kxg7, Bc4,Qxc4, h4,Qxe2+, Kg1,Rc1+  {White resigns} 0-1
cxd3,Nxg5, axb4,Rd8, Rxa7,Rxd3, f4,Nf3, Rxb7,Rd2, Ne2,Rxe2, Rxc7,Rxh2#  {White checkmated} 0-1
Bd2,Bxc3, Bxc3,Nd4, O-O-O,Nxf2, Bxd4,exd4, Nf3,Nxd1, Kxd1,Bg4, Bc4,Bxf3+  {White resigns} 0-1
Ke3,Kg3, Kd3,Kg2, Ke3,f2, Ke4,g4, Kd3,g3, Ke4,f1=Q, Kd4,Qc4+  {White resigns} 0-1
Bxe8,Qxe8, gxf3,Qe5, f4,Qxf4, e5,Bxe5, h3,Qh2+, Kf1,Qxh3+, Kg1,Bh2+  {White resigns} 0-1
Bd3,Nxd3+, cxd3,Bb4+, Bd2,Bxd2+, Kxd2,Bf5, Nf3,Qxd3+, Ke1,Re8+, Ne5,Rxe5#  {White checkmated} 0-1
Bd3,Nxd3+, cxd3,Bb4+, Bd2,Bxd2+, Kxd2,Bf5, Nf3,Qxd3+, Ke1,Re8+, Ne5,Rxe5#  {White checkmated} 0-1
Bd3,Nxd3+, cxd3,Bb4+, Bd2,Bxd2+, Kxd2,Bf5, Nf3,Qxd3+, Ke1,Re8+, Ne5,Rxe5#  {White checkmated} 0-1
Ra5,c3, Rb5,Kc4, Ra5,c2, Rxa3,bxa3, Kg8,c1=Q, Kf8,Kd5, Ke7,Qh6  {White resigns} 0-1
Bc7,Ke3, Bb6+,Kf3, Bd4,Rd2, Bc3,Rd1+, Be1,Rxe1+, Kh2,g1=Q+, Kh3,Qg4+  {White resigns} 0-1
Kh2,Kf1, Kh3,f2, Kg3,Kg1, Kf4,f1=Q+, Kxe5,Qc4, Kf6,Kf2, Kg7,Qe6  {White resigns} 0-1
fxe4,Rxe4, Nf3,Bc5, Nd4,Bxd4, Qxe4,dxe4, c3,Bb6, Bf4,Qd3, Nd2,e3  {White resigns} 0-1
Kh3,Kf3, Kh4,Kxf2, Kh3,e3, Kh4,e2, Kh3,e1=Q, Kh2,Qg1+, Kh3,Qg3#  {White checkmated} 0-1
Kh2,f3, Kh3,Kg1, Kg3,f2, Kf4,f1=Q+, Kg3,Qd3+, Kf4,Qxb3, Kf5,Qxc4  {White resigns} 0-1
fxe3,fxe3, b3,e2, h4,e1=Q, Kc4,Qe4+, Kc5,Qxh4, Kd5,Qf6, Kc4,h5  {White resigns} 0-1
Kg4,f3, Kh3,Ke2, Kg3,f2, Kh4,f1=Q, Kh5,Qg2, Kh6,Ke3, Kh7,Kf4  {White resigns} 0-1
Qxe3,Rxe3, Nxe2,Rxe2+, Kd1,Rd8, Kc1,Rdxd2, g3,Rxc2+, Kd1,Nd3, b3,Rcd2#  {White checkmated} 0-1
Bxb8,Rxb8, exf7+,Kf8, Bd5,cxd5, Ne2,Bxh1, Kd2,Kxf7, Ng3,Bf3, Ke3,Bg2  {White resigns} 0-1
Qb5+,Kf8, Rc1,Rc5, Qxc5,dxc5, f4,Qh4, f3,Qxf4, Re1,Qxf3, Nc3,Qg2#  {White checkmated} 0-1
Qb5+,Kf8, Rc1,Rc5, Qxc5,dxc5, f4,Qh4, f3,Qxf4, Re1,Qxf3, Nc3,Qg2#  {White checkmated} 0-1
Rd1,Ra4+, Ke3,Rxh5, Rb1,b6, Rb5,Rh3+, Ke2,Ra2+, Rb2,Rxb2+, Kf1,Rh1#  {White checkmated} 0-1
Bd2,Bxc3, Bxc3,Nd4, O-O-O,Nxf2, Bxd4,exd4, Nf3,Nxd1, Kxd1,Bg4, Bc4,Bxf3+  {White resigns} 0-1
Bd2,Bxc3, Bxc3,Nd4, O-O-O,Nxf2, Bxd4,exd4, Nf3,Nxd1, Kxd1,Bg4, Bc4,Bxf3+  {White resigns} 0-1
Rd2,Bxd2+, Bxd2,Nd4, Ne2,Nxe2+, Bxe2,Qc6+, Bc3,Qxg2, Rf1,Bg4, Bc4,Qxh2  {White resigns} 0-1
Ke5,Kxh4, Kf4,Kh3, Kg5,h4, Kf5,Kg3, Kf6,h3, Ke5,h2, Kf6,h1=Q  {White resigns} 0-1
Nxc4,b5, Ne5,Re8, b4,Nc6, Nxc6,Rxe1+, Bxe1,Qxc6+, Kd1,Qc4, Bd2,Qxa2  {White resigns} 0-1
Qxf7+,Qxf7, Nxf7,Kxf7, O-O,Nxc2, Nd2,Nxa1, Rxa1,Be7, b4,Ne6, Be5,Bf6  {White resigns} 0-1
Rc1,Rac8, Na3,Rc6, Nc2,Rfc8, Nc4,bxc4, dxc4,Rxc4, e5,Bxe5, Re1,f6  {White resigns} 0-1
c3,Re8, Rc2,Qe6, c4,Nd4, O-O,Nxe2+, Kh1,Qh3, Rg1,Nf4, Rc3,Re2  {White resigns} 0-1
c3,Re8, Rc2,Qe6, c4,Nd4, O-O,Nxe2+, Kh1,Qh3, Rg1,Nf4, Rc3,Re2  {White resigns} 0-1
c3,Re8, Rc2,Qe6, c4,Nd4, O-O,Nxe2+, Kh1,Qh3, Rg1,Nf4, Rc3,Re2  {White resigns} 0-1
Be2,Nxc2+, Kd1,Nxa1, Bxf4,Bf5, Kd2,Rd8+, Ke1,Nc2+, Kf1,Rd1+, Bxd1,Qe1#  {White checkmated} 0-1
Kg3,c3, bxc3,Nxc3, Kf3,Nxa4, Ke3,Nb2, Kf3,a4, Kg3,a3, Kf3,a2  {White resigns} 0-1
fxg3,Bxg3, Rf2,Bxf2, Rb1,Bg3, Qxf7+,Rxf7, h3,Qxh3+, Kg1,Qh2+, Kf1,Qf2#  {White checkmated} 0-1
fxg3,Bxg3, Rf2,Bxf2, Rb1,Bg3, Qxf7+,Rxf7, h3,Qxh3+, Kg1,Qh2+, Kf1,Qf2#  {White checkmated} 0-1
fxg3,Bxg3, Rf2,Bxf2, Rb1,Bg3, Qxf7+,Rxf7, h3,Qxh3+, Kg1,Qh2+, Kf1,Qf2#  {White checkmated} 0-1
fxg3,Bxg3, Rf2,Bxf2, Rb1,Bg3, Qxf7+,Rxf7, h3,Qxh3+, Kg1,Qh2+, Kf1,Qf2#  {White checkmated} 0-1
fxg3,Bxg3, Rf2,Bxf2, Rb1,Bg3, Qxf7+,Rxf7, h3,Qxh3+, Kg1,Qh2+, Kf1,Qf2#  {White checkmated} 0-1
Nf3,a3, Bg5,f6, Bxf6,Qxf6, bxa3,Bxa3, Bxh7+,Kxh7, c3,Bf5+, Rd3,Bxd3+  {White resigns} 0-1
Rxa5,Rfd8, b4,Ne7, b5,Bxb5, Rxb5,Ra1+, Rb1,Rxb1+, Bc1,Rxc1+, Nd1,Rdxd1#  {White checkmated} 0-1
Nxe5,Qa4+, Kc3,Qa5+, Kd3,Qxe5, Ra1,a5, Rc1,Qxb2, Rc2,Qb3+, Kd2,a4  {White resigns} 0-1
Kh4,Ke2, Kg4,f3, Kg3,f2, Kh4,f1=Q, Kh5,Qf4, Kg6,Qe5, Kh7,Qf6  {White resigns} 0-1
Nf3,Bg4, h3,Bxf3, gxf3,Nd4, Kd2,Qxe2+, Kc3,Nb5+, Kb4,c6, Rhf1,Qxf3  {White resigns} 0-1
Kd5,Kf3, Kd4,a5, Kd5,a4, Kd4,a3, Kd5,a2, Ke6,a1=Q, Kf7,Qa2+  {White resigns} 0-1
Kh3,Ke3, Kg3,Ke2, Kh3,f2, Kg2,f1=Q+, Kg3,Qf3+, Kh2,Ng4+, Kg1,Qf2+  {White resigns} 0-1
Ne5,Rac8, b3,Qa3, Qb7,Nd5, Rd3,Nb4, Re2,Qxa2+, Kc1,Rxc2+, Rxc2,Qxc2#  {White checkmated} 0-1
Kg2,Rxc3, Kf2,Rxa3, Ke2,Ra4, Kf3,Rxb4, Kg3,Rc4, Kf3,b4, Kg3,b3  {White resigns} 0-1
b5,cxb5, axb5,Qe4, Kf2,Qc4, Kg3,Qxb5, Nf4,Qc4, e6,fxe6, Nxe6+,Kf7  {White resigns} 0-1
b5,cxb5, axb5,Qe4, Kf2,Qc4, Kg3,Qxb5, Nf4,Qc4, e6,fxe6, Nxe6+,Kf7  {White resigns} 0-1
Nc5,Qd6, Nxb7,Qb4, Re5,Qxb7, b3,Qc7, f4,g6, Kf2,Kg7, Kg3,gxf5  {White resigns} 0-1
Nc5,Qd6, Nxb7,Qb4, Re5,Qxb2, f4,Qxb7, Kf2,Qb2, a5,Qxc2+, Kf1,Qc1+  {White resigns} 0-1
Rb7,Re8, Nxe4,dxe4, Bxe4,Rxe4, Ra1,Qc8, f3,Qxb7, fxe4,Qe7, a5,bxa5  {White resigns} 0-1
Rh7,Qc1+, Kd6,Qd2+, Ke6,Qxb4, Rh8+,Kxc7, Rh7+,Kc6, Rc7+,Kxc7, Ke5,Qe7+  {White resigns} 0-1
Ra7,c4, Ra3,c3, Rxc3,Rb1, Ra3,a1=Q, Rxa1,Rxa1, Kg4,Ng7, Kf4,f6  {White resigns} 0-1
Ra2,Nc7, h4,Nb5, h5,Nc3, Rd2,a2, Rxa2,Rxa2, Kg4,Rg2+, Kf3,Rxg5  {White resigns} 0-1
Kg3,Qd2, Bf2,Rd8, h3,Rxd5, Re3,Rd3, e5,Rxe3+, Bxe3,Bxe3, c4,Qd4  {White resigns} 0-1
Nxc6,Qxc6, bxa3,Rxa3, Kb1,Rxa2, c3,Ra1+, Kc2,R8a2+, Kd3,Qxc3+, Ke4,f5+  {White resigns} 0-1
Bf4,b4, Nd4,a3, Nxc6,Qxc6, bxa3,Rxa3, Kb1,Rxa2, c3,Ra1+, Kc2,Qxc3#  {White checkmated} 0-1
Nxc6,Qxc6, bxa3,Rxa3, Kb1,Rxa2, c3,Ra1+, Kc2,R8a2+, Kd3,Qd5+, Ke3,Qc5+  {White resigns} 0-1
Bf4,b4, Nd4,a3, Nxc6,Qxc6, bxa3,Rxa3, Kb1,Rxa2, c3,Ra1+, Kc2,Qxc3#  {White checkmated} 0-1
Rxf2+,Kxf2, c4,Rg4, b5,cxb5, cxb5,Rb4, Kc3,Rxb5, Kc4,Rc5+, Kd4,Kg3  {White resigns} 0-1
Kc1,Bd5, Bxd5,Rxd5, Rd2,Qc6+, Kb1,Rxd2, Bxd2,Qc2+, Ka1,Qxd2, h4,Qc1#  {White checkmated} 0-1
Re7,Qxd5+, Kf6,e4, Re5,Qxe5+, Kxe5,e3, Kf6,e2, Ke6,e1=Q+, Kd5,Qb4  {White resigns} 0-1
Ra7,a1=Q, Rxa1,Qxa1, Kf5,Qxc3, g3,Qxb4, Kg5,d4, Kg4,d3, Kf3,d2  {White resigns} 0-1
Nf3,c3, h6,Nd4, Nd2,c2, Nb3,Kxb3, Kd2,Kb2, Kd3,c1=Q, f4,Qc3#  {White checkmated} 0-1
f4,b3, fxe5,fxe5, Nh4,b2, g5,hxg5, Ng2,b1=Q, Kf2,Qxd3, Kg1,Qg3  {White resigns} 0-1
c6,Kxf3, Kc4,Kxe4, Kb4,Kf4, c7,Nxc7, Kc5,Ne6+, Kd6,Nd4, Ke7,Kxg4  {White resigns} 0-1
Ke3,c3, f3,c2, Kd2,Kb2, Kd3,c1=Q, f4,Qc3+, Ke2,exf4, Kf2,Qe3+  {White resigns} 0-1
Ke5,c3, Kxd4,c2, Kd3,c1=Q, Kd4,Kxa5, Ke5,c5, Kd5,c4, Kd4,c3  {White resigns} 0-1
Kf3,c3, Kf4,c2, Kf3,c1=Q, Kg3,Qcc4, Kh2,Qe3, Kg2,Qc2+, Kh1,Qec1#  {White checkmated} 0-1
Kg3,Kd5, Kh3,Kd4, f4,gxf4, Kh4,e4, Kg5,f3, Kxf5,f2, Kg5,f1=Q  {White resigns} 0-1
Bd3,Nxd3+, cxd3,Bb4+, Bd2,Bxd2+, Kxd2,Bf5, Nf3,Qxd3+, Ke1,Re8+, Ne5,Rxe5#  {White checkmated} 0-1
Bd3,Nxd3+, cxd3,Bb4+, Bd2,Bxd2+, Kxd2,Bf5, Nf3,Qxd3+, Ke1,Re8+, Ne5,Rxe5#  {White checkmated} 0-1
Bd3,Nxd3+, cxd3,Bb4+, Bd2,Bxd2+, Kxd2,Bf5, Nf3,Qxd3+, Ke1,Re8+, Ne5,Rxe5#  {White checkmated} 0-1
Bd3,Nxd3+, cxd3,Bb4+, Bd2,Bxd2+, Kxd2,Bf5, Nf3,Qxd3+, Ke1,Re8+, Ne5,Rxe5#  {White checkmated} 0-1
Bd3,Nxd3+, cxd3,Bb4+, Bd2,Bxd2+, Kxd2,Bf5, Nf3,Qxd3+, Ke1,Re8+, Ne5,Rxe5#  {White checkmated} 0-1
